policy_name,episode,step,state,action,next_state,reward,done
v2_tabular_q_policy,1,9,3,2,1,-1.9623681279077387,True
v2_tabular_q_policy,2,0,1,2,1,-0.9619906339554067,False
v2_tabular_q_policy,2,1,1,2,3,-0.9619906339554067,False
v2_tabular_q_policy,2,2,3,2,2,-1.9623681279077387,False
v2_tabular_q_policy,2,3,2,1,1,-1.7435590969455517,False
v2_tabular_q_policy,2,4,1,2,1,-0.9619906339554067,False
v2_tabular_q_policy,2,5,1,2,1,-0.9619906339554067,False
v2_tabular_q_policy,2,6,1,2,1,-0.9619906339554067,False
v2_tabular_q_policy,2,7,1,2,2,-0.9619906339554067,False
v2_tabular_q_policy,2,8,2,1,1,-1.7435590969455517,False
v2_tabular_q_policy,2,9,1,2,1,-0.9619906339554067,True
v2_tabular_q_policy,3,0,3,2,3,-1.9623681279077387,False
v2_tabular_q_policy,3,1,3,2,2,-1.9623681279077387,False
v2_tabular_q_policy,3,2,2,1,1,-1.7435590969455517,False
v2_tabular_q_policy,3,3,1,2,0,-0.9619906339554067,False
v2_tabular_q_policy,3,4,0,0,0,-0.041438962060153184,False
v2_tabular_q_policy,3,5,0,0,0,-0.041438962060153184,False
v2_tabular_q_policy,3,6,0,0,0,-0.041438962060153184,False
v2_tabular_q_policy,3,7,0,0,1,-0.041438962060153184,False
v2_tabular_q_policy,3,8,1,2,2,-0.9619906339554067,False
v2_tabular_q_policy,3,9,2,1,3,-1.7435590969455517,True
v2_tabular_q_policy,4,0,0,0,0,-0.041438962060153184,False
v2_tabular_q_policy,4,1,0,0,0,-0.041438962060153184,False
v2_tabular_q_policy,4,2,0,0,0,-0.041438962060153184,False
v2_tabular_q_policy,4,3,0,0,1,-0.041438962060153184,False
v2_tabular_q_policy,4,4,1,2,1,-0.9619906339554067,False
v2_tabular_q_policy,4,5,1,2,2,-0.9619906339554067,False
v2_tabular_q_policy,4,6,2,1,1,-1.7435590969455517,False
v2_tabular_q_policy,4,7,1,2,0,-0.9619906339554067,False
v2_tabular_q_policy,4,8,0,0,1,-0.041438962060153184,False
v2_tabular_q_policy,4,9,1,2,3,-0.9619906339554067,True
v2_dqn_policy,0,0,0,0,0,-0.041438962060153184,False
v2_dqn_policy,0,1,0,0,1,-0.041438962060153184,False
v2_dqn_policy,0,2,1,0,0,-0.8619906339554066,False
v2_dqn_policy,0,3,0,0,0,-0.041438962060153184,False
v2_dqn_policy,0,4,0,0,2,-0.041438962060153184,False
v2_dqn_policy,0,5,2,2,0,-1.7935590969455517,False
v2_dqn_policy,0,6,0,0,0,-0.041438962060153184,False
v2_dqn_policy,0,7,0,0,2,-0.041438962060153184,False
v2_dqn_policy,0,8,2,2,2,-1.7935590969455517,False
v2_dqn_policy,0,9,2,2,1,-1.7935590969455517,True
v2_dqn_policy,1,0,0,0,0,-0.041438962060153184,False
v2_dqn_policy,1,1,0,0,1,-0.041438962060153184,False
v2_dqn_policy,1,2,1,0,1,-0.8619906339554066,False
v2_dqn_policy,1,3,1,0,0,-0.8619906339554066,False
v2_dqn_policy,1,4,0,0,1,-0.041438962060153184,False
v2_dqn_policy,1,5,1,0,2,-0.8619906339554066,False
v2_dqn_policy,1,6,2,2,2,-1.7935590969455517,False
v2_dqn_policy,1,7,2,2,3,-1.7935590969455517,False
v2_dqn_policy,1,8,3,2,2,-1.9623681279077387,False
v2_dqn_policy,1,9,2,2,3,-1.7935590969455517,True
v2_dqn_policy,2,0,0,0,1,-0.041438962060153184,False
v2_dqn_policy,2,1,1,0,1,-0.8619906339554066,False
v2_dqn_policy,2,2,1,0,1,-0.8619906339554066,False
v2_dqn_policy,2,3,1,0,2,-0.8619906339554066,False
v2_dqn_policy,2,4,2,2,1,-1.7935590969455517,False
v2_dqn_policy,2,5,1,0,2,-0.8619906339554066,False
v2_dqn_policy,2,6,2,2,3,-1.7935590969455517,False
v2_dqn_policy,2,7,3,2,1,-1.9623681279077387,False
v2_dqn_policy,2,8,1,0,1,-0.8619906339554066,False
v2_dqn_policy,2,9,1,0,1,-0.8619906339554066,True
v2_dqn_policy,3,0,0,0,0,-0.041438962060153184,False
v2_dqn_policy,3,1,0,0,2,-0.041438962060153184,False
v2_dqn_policy,3,2,2,2,1,-1.7935590969455517,False
v2_dqn_policy,3,3,1,0,0,-0.8619906339554066,False
v2_dqn_policy,3,4,0,0,1,-0.041438962060153184,False
v2_dqn_policy,3,5,1,0,1,-0.8619906339554066,False
v2_dqn_policy,3,6,1,0,3,-0.8619906339554066,False
v2_dqn_policy,3,7,3,2,1,-1.9623681279077387,False
