algo,rollout_mean,rollout_std,rollout_ci95
ddpg,-32.40190952192882,1.5931564929287276,1.8028262869050582
td3,-33.07227395323824,1.8489204155089238,2.092250411224373
sac,-32.743831990435694,0.8605131881215315,0.9737623407742512
learned_model,-30.264817632469505,0.13641911112020372,0.1543727566346038
belief_update,-31.04056081427666,0.6946670113698149,0.7860897245825703
rnn_rl,-33.26580628517261,1.7135759694077832,1.939093752540337
